ÁöÁ¡,ÀÏœÃ,±âŸÐ(hPa),°íµµ(gpm),±â¿Â(¡ÆC),ÀÌœœÁ¡¿Âµµ(¡ÆC),Ç³Çâ(deg),Ç³ŒÓ(knot),Áö»ó FLAG(null),±Ç°èžé FLAG(null),ÃÖŽëÇ³ FLAG(null)
47090,2011-01-01 00:00,282.0,,-49.7,-76.7,,,0,0,0,
47090,2011-01-01 00:00,290.0,,,,295.0,36.0,0,0,0,
47090,2011-01-01 00:00,296.0,,,,290.0,33.0,0,0,0,
47090,2011-01-01 00:00,300.0,8660.0,-50.5,-74.5,285.0,29.0,0,0,0,
47090,2011-01-01 00:00,307.0,,,,295.0,17.0,0,0,0,
47090,2011-01-01 00:00,310.0,,,,305.0,16.0,0,0,0,
47090,2011-01-01 00:00,316.0,,,,330.0,17.0,0,0,0,
47090,2011-01-01 00:00,327.0,,-52.3,-69.3,,,0,0,0,
47090,2011-01-01 00:00,331.0,,,,310.0,13.0,0,0,0,
47090,2011-01-01 00:00,342.0,,,,10.0,12.0,0,0,0,
47090,2011-01-01 00:00,348.0,,,,15.0,17.0,0,0,0,
47090,2011-01-01 00:00,357.0,,-54.5,-61.5,350.0,12.0,0,1,0,
47090,2011-01-01 00:00,383.0,,-51.1,-56.1,,,0,0,0,
47090,2011-01-01 00:00,392.0,,,,235.0,10.0,0,0,0,
47090,2011-01-01 00:00,400.0,6800.0,-49.3,-56.3,215.0,9.0,0,0,0,
47090,2011-01-01 00:00,428.0,,,,150.0,8.0,0,0,0,
47090,2011-01-01 00:00,442.0,,,,125.0,14.0,0,0,0,
47090,2011-01-01 00:00,448.0,,-42.7,-53.7,,,0,0,0,
47090,2011-01-01 00:00,468.0,,-40.7,-49.7,,,0,0,0,
47090,2011-01-01 00:00,478.0,,,,100.0,25.0,0,0,0,
47090,2011-01-01 00:00,500.0,5300.0,-36.5,-44.5,85.0,23.0,0,0,0,
47090,2011-01-01 00:00,592.0,,-26.5,-32.5,,,0,0,0,
47090,2011-01-01 00:00,652.0,,,,20.0,26.0,0,0,0,
47090,2011-01-01 00:00,700.0,2877.0,-20.3,-22.9,20.0,19.0,0,0,0,
47090,2011-01-01 00:00,762.0,,,,5.0,24.0,0,0,0,
47090,2011-01-01 00:00,795.0,,-15.3,-16.4,,,0,0,0,
47090,2011-01-01 00:00,800.0,,,,30.0,26.0,0,0,0,
47090,2011-01-01 00:00,850.0,1416.0,-11.5,-12.3,15.0,24.0,0,0,0,
47090,2011-01-01 00:00,873.0,,-10.1,-10.6,,,0,0,0,
47090,2011-01-01 00:00,925.0,761.0,-6.5,-8.7,360.0,26.0,0,0,0,
47090,2011-01-01 00:00,927.0,,,,360.0,26.0,0,0,0,
47090,2011-01-01 00:00,969.0,,,,335.0,28.0,0,0,0,
47090,2011-01-01 00:00,1000.0,146.0,-1.7,-9.7,315.0,19.0,0,0,0,
47090,2011-01-01 00:00,1003.0,,,,315.0,17.0,0,0,0,
47090,2011-01-01 00:00,1016.0,,-0.3,-9.3,320.0,6.0,1,0,0,
47090,2011-01-01 06:00,9.7,,-33.3,-72.3,70.0,51.0,0,0,0,
47090,2011-01-01 06:00,10.0,30850.0,-33.9,-72.9,80.0,42.0,0,0,0,
47090,2011-01-01 06:00,10.1,,,,85.0,42.0,0,0,0,
47090,2011-01-01 06:00,10.6,,-34.1,-73.1,60.0,40.0,0,0,0,
47090,2011-01-01 06:00,11.2,,,,75.0,32.0,0,0,0,
47090,2011-01-01 06:00,11.6,,,,55.0,21.0,0,0,0,
47090,2011-01-01 06:00,11.7,,,,60.0,21.0,0,0,0,
47090,2011-01-01 06:00,12.0,,,,80.0,24.0,0,0,0,
47090,2011-01-01 06:00,12.4,,-44.5,-80.5,,,0,0,0,
47090,2011-01-01 06:00,12.5,,,,70.0,39.0,0,0,0,
47090,2011-01-01 06:00,13.0,,,,65.0,29.0,0,0,0,
47090,2011-01-01 06:00,13.3,,-43.7,-79.7,,,0,0,0,
47090,2011-01-01 06:00,13.6,,,,35.0,18.0,0,0,0,
47090,2011-01-01 06:00,13.8,,,,55.0,13.0,0,0,0,
47090,2011-01-01 06:00,14.0,,,,65.0,13.0,0,0,0,
47090,2011-01-01 06:00,14.5,,,,65.0,18.0,0,0,0,
47090,2011-01-01 06:00,15.0,,,,40.0,18.0,0,0,0,
47090,2011-01-01 06:00,15.3,,,,35.0,14.0,0,0,0,
47090,2011-01-01 06:00,15.9,,,,70.0,14.0,0,0,0,
47090,2011-01-01 06:00,16.2,,,,75.0,12.0,0,0,0,
47090,2011-01-01 06:00,16.7,,,,35.0,10.0,0,0,0,
47090,2011-01-01 06:00,17.2,,,,20.0,10.0,0,0,0,
47090,2011-01-01 06:00,17.9,,,,0.0,0.0,0,0,0,
47090,2011-01-01 06:00,19.4,,,,145.0,10.0,0,0,0,
47090,2011-01-01 06:00,19.8,,,,150.0,13.0,0,0,0,
47090,2011-01-01 06:00,20.0,26190.0,-49.3,-83.3,155.0,12.0,0,0,0,
47090,2011-01-01 06:00,20.3,,,,165.0,10.0,0,0,0,
47090,2011-01-01 06:00,20.9,,,,60.0,2.0,0,0,0,
47090,2011-01-01 06:00,29.5,,-53.9,-86.9,,,0,0,0,
47090,2011-01-01 06:00,30.0,23560.0,-53.3,-86.3,145.0,7.0,0,0,0,
47090,2011-01-01 06:00,32.8,,,,315.0,2.0,0,0,0,
47090,2011-01-01 06:00,34.2,,-51.5,-84.5,,,0,0,0,
47090,2011-01-01 06:00,35.7,,,,245.0,14.0,0,0,0,
47090,2011-01-01 06:00,36.9,,,,215.0,15.0,0,0,0,
47090,2011-01-01 06:00,37.5,,,,215.0,10.0,0,0,0,
47090,2011-01-01 06:00,38.9,,,,260.0,12.0,0,0,0,
47090,2011-01-01 06:00,39.5,,-57.9,-89.9,,,0,0,0,
47090,2011-01-01 06:00,39.9,,,,225.0,15.0,0,0,0,
47090,2011-01-01 06:00,40.8,,,,215.0,13.0,0,0,0,
47090,2011-01-01 06:00,45.7,,,,280.0,17.0,0,0,0,
47090,2011-01-01 06:00,45.9,,-53.7,-86.7,,,0,0,0,
47090,2011-01-01 06:00,47.1,,,,280.0,15.0,0,0,0,
47090,2011-01-01 06:00,47.3,,-57.1,-89.1,,,0,0,0,
47090,2011-01-01 06:00,50.0,20290.0,-56.9,-88.9,255.0,20.0,0,0,0,
47090,2011-01-01 06:00,52.4,,,,245.0,17.0,0,0,0,
47090,2011-01-01 06:00,53.6,,,,265.0,17.0,0,0,0,
47090,2011-01-01 06:00,54.9,,,,290.0,22.0,0,0,0,
47090,2011-01-01 06:00,56.0,,,,295.0,30.0,0,0,0,
47090,2011-01-01 06:00,61.7,,,,275.0,50.0,0,0,0,
47090,2011-01-01 06:00,62.9,,-57.9,-88.9,,,0,0,0,
47090,2011-01-01 06:00,63.1,,,,265.0,47.0,0,0,0,
47090,2011-01-01 06:00,68.2,,,,260.0,39.0,0,0,0,
47090,2011-01-01 06:00,70.0,18150.0,-55.9,-87.9,265.0,36.0,0,0,0,
47090,2011-01-01 06:00,73.6,,,,280.0,27.0,0,0,0,
47090,2011-01-01 06:00,79.7,,,,305.0,49.0,0,0,0,
47090,2011-01-01 06:00,82.7,,-52.9,-85.9,,,0,0,0,
47090,2011-01-01 06:00,85.1,,,,290.0,65.0,0,0,0,
47090,2011-01-01 06:00,100.0,15870.0,-54.3,-86.3,275.0,60.0,0,0,0,
47090,2011-01-01 06:00,114.0,,-51.5,-84.5,285.0,59.0,0,0,0,
47090,2011-01-01 06:00,119.0,,,,275.0,66.0,0,0,0,
47090,2011-01-01 06:00,135.0,,-54.1,-85.1,,,0,0,0,
47090,2011-01-01 06:00,137.0,,,,295.0,70.0,0,0,0,
47090,2011-01-01 06:00,150.0,13260.0,-52.1,-84.1,290.0,81.0,0,0,0,
47090,2011-01-01 06:00,161.0,,,,285.0,85.0,0,0,1,
47090,2011-01-01 06:00,198.0,,-48.7,-81.7,,,0,0,0,
47090,2011-01-01 06:00,200.0,11390.0,-49.5,-81.5,285.0,74.0,0,0,0,
47090,2011-01-01 06:00,217.0,,-51.3,-81.3,,,0,0,0,
47090,2011-01-01 06:00,250.0,9930.0,-49.9,-74.9,290.0,67.0,0,0,0,
47090,2011-01-01 06:00,300.0,8740.0,-50.5,-72.5,295.0,58.0,0,0,0,
47090,2011-01-01 06:00,318.0,,-49.5,-70.5,,,0,0,0,
47090,2011-01-01 06:00,338.0,,,,295.0,53.0,0,0,0,
47090,2011-01-01 06:00,353.0,,-51.3,-67.3,,,0,0,0,
47090,2011-01-01 06:00,364.0,,,,285.0,35.0,0,0,0,
47090,2011-01-01 06:00,368.0,,-52.3,-62.3,280.0,33.0,0,1,0,
47090,2011-01-01 06:00,400.0,6870.0,-49.7,-55.7,230.0,25.0,0,0,0,
47090,2011-01-01 06:00,406.0,,,,230.0,18.0,0,0,0,
47090,2011-01-01 06:00,424.0,,,,270.0,11.0,0,0,0,
47090,2011-01-01 06:00,432.0,,-46.5,-49.6,,,0,0,0,
47090,2011-01-01 06:00,477.0,,-40.3,-42.8,,,0,0,0,
47090,2011-01-01 06:00,478.0,,,,270.0,17.0,0,0,0,
47090,2011-01-01 06:00,496.0,,,,250.0,12.0,0,0,0,
47090,2011-01-01 06:00,500.0,5370.0,-37.5,-40.8,250.0,11.0,0,0,0,
47090,2011-01-01 06:00,516.0,,-35.5,-40.5,,,0,0,0,
47090,2011-01-01 06:00,523.0,,,,280.0,10.0,0,0,0,
47090,2011-01-01 06:00,530.0,,-33.9,-37.2,,,0,0,0,
47090,2011-01-01 06:00,568.0,,,,270.0,11.0,0,0,0,
47090,2011-01-01 06:00,594.0,,,,285.0,9.0,0,0,0,
47090,2011-01-01 06:00,598.0,,,,290.0,10.0,0,0,0,
47090,2011-01-01 06:00,624.0,,,,330.0,16.0,0,0,0,
47090,2011-01-01 06:00,677.0,,,,340.0,14.0,0,0,0,
47090,2011-01-01 06:00,700.0,2947.0,-16.5,-45.5,10.0,13.0,0,0,0,
47090,2011-01-01 06:00,714.0,,,,30.0,15.0,0,0,0,
47090,2011-01-01 06:00,715.0,,-15.5,-46.5,,,0,0,0,
47090,2011-01-01 06:00,734.0,,,,15.0,17.0,0,0,0,
47090,2011-01-01 06:00,750.0,,,,25.0,20.0,0,0,0,
47090,2011-01-01 06:00,767.0,,,,15.0,15.0,0,0,0,
47090,2011-01-01 06:00,772.0,,-13.5,-33.5,,,0,0,0,
47090,2011-01-01 06:00,804.0,,-14.9,-22.9,,,0,0,0,
47090,2011-01-01 06:00,816.0,,,,20.0,18.0,0,0,0,
47090,2011-01-01 06:00,849.0,,-12.3,-15.1,,,0,0,0,
47090,2011-01-01 06:00,850.0,1474.0,-12.1,-15.0,30.0,15.0,0,0,0,
47090,2011-01-01 06:00,871.0,,,,40.0,13.0,0,0,0,
47090,2011-01-01 06:00,925.0,820.0,-5.9,-12.9,15.0,11.0,0,0,0,
47090,2011-01-01 06:00,948.0,,,,5.0,10.0,0,0,0,
47090,2011-01-01 06:00,1000.0,203.0,-0.3,-10.3,325.0,10.0,0,0,0,
47090,2011-01-01 06:00,1007.0,,,,320.0,10.0,0,0,0,
47090,2011-01-01 06:00,1011.0,,0.2,-9.8,,,0,0,0,
47090,2011-01-01 06:00,1023.0,,-0.5,-10.5,290.0,6.0,1,0,0,
47090,2011-01-02 12:00,9.3,,-30.9,-70.9,75.0,63.0,0,0,0,
47090,2011-01-02 12:00,9.5,,,,75.0,63.0,0,0,1,
47090,2011-01-02 12:00,10.0,30890.0,-30.1,-70.1,70.0,51.0,0,0,0,
47090,2011-01-02 12:00,10.3,,,,60.0,44.0,0,0,0,
47090,2011-01-02 12:00,11.2,,-37.5,-75.5,,,0,0,0,
47090,2011-01-02 12:00,11.6,,,,85.0,27.0,0,0,0,
47090,2011-01-02 12:00,12.2,,,,75.0,27.0,0,0,0,
47090,2011-01-02 12:00,12.6,,,,85.0,36.0,0,0,0,
47090,2011-01-02 12:00,13.8,,,,105.0,20.0,0,0,0,
47090,2011-01-02 12:00,15.2,,,,50.0,16.0,0,0,0,
47090,2011-01-02 12:00,15.5,,,,65.0,13.0,0,0,0,
47090,2011-01-02 12:00,16.2,,,,100.0,21.0,0,0,0,
47090,2011-01-02 12:00,16.7,,-45.3,-80.3,90.0,23.0,0,0,0,
47090,2011-01-02 12:00,17.1,,-44.7,-79.7,,,0,0,0,
47090,2011-01-02 12:00,17.6,,,,135.0,18.0,0,0,0,
47090,2011-01-02 12:00,18.3,,,,130.0,27.0,0,0,0,
47090,2011-01-02 12:00,18.8,,-45.1,-80.1,,,0,0,0,
47090,2011-01-02 12:00,19.4,,,,120.0,19.0,0,0,0,
47090,2011-01-02 12:00,20.0,26180.0,-48.1,-82.1,95.0,17.0,0,0,0,
47090,2011-01-02 12:00,20.6,,,,85.0,17.0,0,0,0,
47090,2011-01-02 12:00,21.4,,,,105.0,10.0,0,0,0,
47090,2011-01-02 12:00,22.5,,,,0.0,0.0,0,0,0,
47090,2011-01-02 12:00,23.2,,-53.3,-86.3,,,0,0,0,
47090,2011-01-02 12:00,30.0,23560.0,-53.1,-86.1,270.0,9.0,0,0,0,
47090,2011-01-02 12:00,30.1,,,,270.0,10.0,0,0,0,
47090,2011-01-02 12:00,31.3,,,,260.0,17.0,0,0,0,
47090,2011-01-02 12:00,34.3,,-54.3,-87.3,,,0,0,0,
47090,2011-01-02 12:00,34.9,,,,185.0,14.0,0,0,0,
47090,2011-01-02 12:00,35.6,,,,195.0,10.0,0,0,0,
47090,2011-01-02 12:00,36.4,,-52.7,-85.7,245.0,11.0,0,0,0,
47090,2011-01-02 12:00,36.9,,,,250.0,16.0,0,0,0,
47090,2011-01-02 12:00,37.6,,,,240.0,19.0,0,0,0,
47090,2011-01-02 12:00,39.1,,,,205.0,10.0,0,0,0,
47090,2011-01-02 12:00,40.1,,,,245.0,6.0,0,0,0,
47090,2011-01-02 12:00,40.9,,,,280.0,12.0,0,0,0,
47090,2011-01-02 12:00,42.4,,,,270.0,28.0,0,0,0,
47090,2011-01-02 12:00,44.8,,-58.7,-89.7,,,0,0,0,
47090,2011-01-02 12:00,46.0,,,,250.0,29.0,0,0,0,
47090,2011-01-02 12:00,47.6,,-58.5,-89.5,,,0,0,0,
47090,2011-01-02 12:00,48.5,,,,245.0,15.0,0,0,0,
47090,2011-01-02 12:00,49.8,,,,255.0,11.0,0,0,0,
47090,2011-01-02 12:00,50.0,20300.0,-56.5,-88.5,260.0,11.0,0,0,0,
47090,2011-01-02 12:00,52.8,,,,280.0,18.0,0,0,0,
47090,2011-01-02 12:00,53.9,,-54.1,-87.1,,,0,0,0,
47090,2011-01-02 12:00,58.6,,-59.9,-90.9,,,0,0,0,
47090,2011-01-02 12:00,59.1,,,,260.0,41.0,0,0,0,
47090,2011-01-02 12:00,62.7,,,,270.0,31.0,0,0,0,
47090,2011-01-02 12:00,63.8,,-56.7,-88.7,,,0,0,0,
47090,2011-01-02 12:00,67.8,,,,290.0,49.0,0,0,0,
47090,2011-01-02 12:00,70.0,18170.0,-58.1,-89.1,280.0,61.0,0,0,0,
47090,2011-01-02 12:00,71.7,,,,280.0,67.0,0,0,0,
47090,2011-01-02 12:00,76.2,,,,275.0,57.0,0,0,0,
47090,2011-01-02 12:00,81.0,,,,285.0,70.0,0,0,0,
47090,2011-01-02 12:00,86.1,,,,275.0,54.0,0,0,0,
47090,2011-01-02 12:00,92.4,,-56.3,-87.3,,,0,0,0,
47090,2011-01-02 12:00,100.0,15920.0,-60.5,-89.5,275.0,73.0,0,0,0,
47090,2011-01-02 12:00,101.0,,-60.5,-89.5,,,0,0,0,
47090,2011-01-02 12:00,107.0,,,,290.0,77.0,0,0,0,
47090,2011-01-02 12:00,115.0,,,,275.0,76.0,0,0,0,
47090,2011-01-02 12:00,135.0,,-53.3,-86.3,,,0,0,0,
47090,2011-01-02 12:00,145.0,,,,280.0,85.0,0,0,0,
47090,2011-01-02 12:00,150.0,13340.0,-53.7,-85.7,285.0,92.0,0,0,0,
47090,2011-01-02 12:00,165.0,,,,285.0,105.0,0,0,1,
47090,2011-01-02 12:00,175.0,,-52.7,-84.7,285.0,95.0,0,1,0,
47090,2011-01-02 12:00,200.0,11480.0,-49.3,-81.3,280.0,94.0,0,0,0,
47090,2011-01-02 12:00,201.0,,-48.9,-80.9,,,0,0,0,
47090,2011-01-02 12:00,205.0,,,,280.0,91.0,0,0,0,
47090,2011-01-02 12:00,224.0,,,,285.0,103.0,0,0,0,
47090,2011-01-02 12:00,232.0,,-50.5,-76.5,,,0,0,0,
47090,2011-01-02 12:00,250.0,10020.0,-48.7,-75.7,285.0,94.0,0,0,0,
47090,2011-01-02 12:00,275.0,,-47.5,-77.5,,,0,0,0,
47090,2011-01-02 12:00,300.0,8820.0,-48.9,-77.9,290.0,98.0,0,0,0,
47090,2011-01-02 12:00,305.0,,,,290.0,99.0,0,0,0,
47090,2011-01-02 12:00,362.0,,-44.9,-65.9,290.0,87.0,0,0,0,
47090,2011-01-02 12:00,372.0,,-45.5,-65.5,,,0,0,0,
47090,2011-01-02 12:00,400.0,6900.0,-43.5,-62.5,290.0,59.0,0,0,0,
47090,2011-01-02 12:00,436.0,,-40.5,-55.5,,,0,0,0,
47090,2011-01-02 12:00,447.0,,,,290.0,43.0,0,0,0,
47090,2011-01-02 12:00,459.0,,-38.9,-54.9,,,0,0,0,
47090,2011-01-02 12:00,500.0,5380.0,-35.5,-52.5,285.0,34.0,0,0,0,
47090,2011-01-02 12:00,528.0,,-32.7,-55.7,,,0,0,0,
47090,2011-01-02 12:00,535.0,,,,280.0,26.0,0,0,0,
47090,2011-01-02 12:00,559.0,,-32.5,-42.5,,,0,0,0,
47090,2011-01-02 12:00,568.0,,-31.5,-40.5,,,0,0,0,
47090,2011-01-02 12:00,618.0,,,,255.0,22.0,0,0,0,
47090,2011-01-02 12:00,650.0,,,,230.0,18.0,0,0,0,
47090,2011-01-02 12:00,679.0,,-20.1,-38.1,,,0,0,0,
47090,2011-01-02 12:00,700.0,2961.0,-18.7,-36.7,245.0,14.0,0,0,0,
47090,2011-01-02 12:00,707.0,,,,250.0,12.0,0,0,0,
47090,2011-01-02 12:00,713.0,,-17.7,-42.7,,,0,0,0,
47090,2011-01-02 12:00,754.0,,,,320.0,14.0,0,0,0,
47090,2011-01-02 12:00,773.0,,,,330.0,12.0,0,0,0,
47090,2011-01-02 12:00,786.0,,-13.5,-33.5,,,0,0,0,
47090,2011-01-02 12:00,798.0,,-14.7,-23.7,,,0,0,0,
47090,2011-01-02 12:00,808.0,,,,200.0,1.0,0,0,0,
47090,2011-01-02 12:00,819.0,,-13.7,-15.6,,,0,0,0,
47090,2011-01-02 12:00,850.0,1493.0,-11.1,-13.7,160.0,3.0,0,0,0,
47090,2011-01-02 12:00,871.0,,-9.7,-11.7,,,0,0,0,
47090,2011-01-02 12:00,925.0,837.0,-5.9,-12.9,295.0,4.0,0,0,0,
47090,2011-01-02 12:00,999.0,,-0.7,-11.7,,,0,0,0,
47090,2011-01-02 12:00,1000.0,220.0,-0.7,-11.7,335.0,6.0,0,0,0,
47090,2011-01-02 12:00,1013.0,,0.0,-11.0,,,0,0,0,
47090,2011-01-02 12:00,1024.0,,-2.1,-10.1,,,0,0,0,
47090,2011-01-02 12:00,1025.0,,-1.5,-10.5,290.0,5.0,1,0,0,
47090,2011-01-02 18:00,78.4,,-60.5,-88.5,270.0,59.0,0,0,0,
47090,2011-01-02 18:00,100.0,15940.0,-57.7,-86.7,285.0,81.0,0,0,0,
47090,2011-01-02 18:00,105.0,,-57.7,-86.7,,,0,0,0,
47090,2011-01-02 18:00,117.0,,-53.3,-84.3,,,0,0,0,
47090,2011-01-02 18:00,126.0,,,,270.0,94.0,0,0,0,
47090,2011-01-02 18:00,133.0,,,,280.0,90.0,0,0,0,
47090,2011-01-02 18:00,142.0,,,,265.0,85.0,0,0,0,
47090,2011-01-02 18:00,149.0,,,,280.0,83.0,0,0,0,
47090,2011-01-02 18:00,150.0,13360.0,-55.1,-84.1,280.0,83.0,0,0,0,
47090,2011-01-02 18:00,168.0,,-56.7,-84.7,285.0,86.0,0,1,0,
47090,2011-01-02 18:00,184.0,,,,280.0,79.0,0,0,0,
47090,2011-01-02 18:00,195.0,,-51.1,-79.1,,,0,0,0,
47090,2011-01-02 18:00,200.0,11510.0,-51.9,-78.9,285.0,92.0,0,0,0,
47090,2011-01-02 18:00,217.0,,-56.7,-78.7,,,0,0,0,
47090,2011-01-02 18:00,230.0,,,,280.0,115.0,0,0,0,
47090,2011-01-02 18:00,250.0,10080.0,-55.3,-77.3,285.0,106.0,0,0,0,
47090,2011-01-02 18:00,252.0,,,,285.0,106.0,0,0,0,
47090,2011-01-02 18:00,275.0,,-52.9,-72.9,,,0,0,0,
47090,2011-01-02 18:00,300.0,8900.0,-47.5,-69.5,290.0,129.0,0,0,0,
47090,2011-01-02 18:00,304.0,,,,290.0,131.0,0,0,1,
47090,2011-01-02 18:00,400.0,6940.0,-32.3,-64.3,290.0,110.0,0,0,0,
47090,2011-01-02 18:00,405.0,,,,295.0,109.0,0,0,0,
47090,2011-01-02 18:00,410.0,,-31.3,-64.3,,,0,0,0,
47090,2011-01-02 18:00,448.0,,-30.5,-62.5,,,0,0,0,
47090,2011-01-02 18:00,493.0,,-32.3,-59.3,,,0,0,0,
47090,2011-01-02 18:00,498.0,,,,290.0,48.0,0,0,0,
47090,2011-01-02 18:00,500.0,5360.0,-31.9,-59.9,290.0,48.0,0,0,0,
47090,2011-01-02 18:00,529.0,,-29.7,-57.7,,,0,0,0,
47090,2011-01-02 18:00,547.0,,,,295.0,34.0,0,0,0,
47090,2011-01-02 18:00,594.0,,,,270.0,19.0,0,0,0,
47090,2011-01-02 18:00,600.0,,-27.9,-50.9,,,0,0,0,
47090,2011-01-02 18:00,609.0,,-28.1,-40.1,,,0,0,0,
47090,2011-01-02 18:00,617.0,,,,250.0,18.0,0,0,0,
47090,2011-01-02 18:00,646.0,,-25.1,-38.1,,,0,0,0,
47090,2011-01-02 18:00,650.0,,-25.1,-32.1,,,0,0,0,
